因子,阶段,RankIC,ICIR,单因子超额年化,单因子超额Sharpe,单因子绝对年化,单因子最大回撤
medium_momentum,train,-0.02427,-0.1708,-0.380326,-1.475,-0.369192,-0.753417
medium_momentum,validation,-0.009116,-0.0672,-0.378119,-2.4366,-0.026328,-0.221814
medium_momentum,test,0.002391,0.014,-0.053334,0.1425,-0.284396,-0.393683
trend_quality,train,-0.023487,-0.1584,-0.236485,-0.7832,-0.221764,-0.60195
trend_quality,validation,-0.010723,-0.0807,-0.35815,-1.9289,0.004253,-0.246171
trend_quality,test,0.007334,0.043,-0.252185,-0.3155,-0.438365,-0.418382
multi_period_consistency,train,-0.061766,-0.4938,-0.538093,-1.8983,-0.52401,-0.871267
multi_period_consistency,validation,-0.087953,-0.8426,-0.28277,-0.8976,0.125959,-0.251056
multi_period_consistency,test,0.016747,0.1166,-0.037782,0.144,-0.263662,-0.330132
path_efficiency,train,-0.055524,-0.5105,-0.511819,-2.0614,-0.497362,-0.858035
path_efficiency,validation,-0.081307,-0.8484,-0.360901,-1.4192,0.00986,-0.277957
path_efficiency,test,0.001589,0.0118,0.070269,0.3755,-0.186518,-0.357876
downside_risk_control,train,0.094432,0.4385,0.011003,0.1694,0.095508,-0.111694
downside_risk_control,validation,0.038303,0.2088,-0.380842,-2.9013,0.001553,-0.055555
downside_risk_control,test,0.019721,0.097,-0.046332,-0.0304,-0.207926,-0.129959
drawdown_control,train,0.00049,0.0031,-0.479439,-2.2297,-0.465789,-0.846264
drawdown_control,validation,-0.041681,-0.342,-0.488402,-3.4555,-0.180754,-0.247063
drawdown_control,test,0.068849,0.6176,0.924066,2.0867,0.485662,-0.228887
