配置,累计收益,年化收益,年化波动,Sharpe,Sortino,最大回撤,Calmar,胜率,平均收益,平均保留率,样本数,_total_return,_sharpe,_sortino,_max_dd
production_rank_standardized,-69.3%,-40.2%,47.9%,-0.88,-1.48,-73.1%,-0.55,42%,-0.80%,10.7%,115,-0.6931609914047714,-0.8801399735151312,-1.4769036315831767,-0.7314512647377591
momentum_heavy,-72.7%,-43.1%,42.9%,-1.05,-1.85,-76.5%,-0.56,39%,-0.95%,26.8%,115,-0.7266600434961813,-1.0519220232827342,-1.8454332130298376,-0.765052206594909
production_raw,-89.9%,-63.0%,58.9%,-1.1,-1.88,-92.7%,-0.68,42%,-1.63%,26.1%,115,-0.898538956512537,-1.1042439525394565,-1.8831764860270346,-0.926582787326501
ic_optimized,-83.0%,-53.8%,46.9%,-1.19,-2.11,-86.2%,-0.62,36%,-1.32%,12.3%,115,-0.8303787655523023,-1.1891856915230055,-2.112632468041893,-0.8620029102650587
equal,-82.6%,-53.3%,45.2%,-1.22,-2.08,-86.5%,-0.62,37%,-1.31%,14.0%,115,-0.8261694832446369,-1.2217163772209696,-2.0782872057224933,-0.8645582888488792
default_sideways,-82.2%,-52.8%,43.9%,-1.25,-2.18,-84.9%,-0.62,37%,-1.30%,8.9%,115,-0.8219494520530096,-1.2469165239194588,-2.177333144570064,-0.848664573340857
vol_price_heavy,-84.5%,-55.5%,45.4%,-1.27,-2.18,-86.8%,-0.64,36%,-1.41%,7.1%,115,-0.8449094216249831,-1.2669506580670777,-2.1765461517305127,-0.8676292741040901
trend_heavy,-91.8%,-66.3%,52.7%,-1.3,-2.24,-92.4%,-0.72,33%,-1.89%,14.9%,115,-0.9182626565666385,-1.296411797493655,-2.2442614330678214,-0.9244238644185935
default_bull,-86.6%,-58.3%,46.5%,-1.3,-2.2,-87.7%,-0.67,35%,-1.52%,9.2%,115,-0.8663509978422799,-1.2979518354161992,-2.2040990536506704,-0.8766499178143383
default_bear,-80.2%,-50.5%,40.2%,-1.3,-2.19,-82.9%,-0.61,37%,-1.24%,7.8%,115,-0.8016077048467523,-1.3049053304578602,-2.1917805894211604,-0.8289973546754154
rsrs_focused,-79.1%,-49.4%,38.4%,-1.34,-2.11,-80.2%,-0.62,36%,-1.21%,4.7%,115,-0.7910893348602702,-1.339701057998192,-2.1069245412729223,-0.8024008440512318
